lr  e tl  xl  yl
1e-5  126.9043  1401.7664   2627.4524
1e-5  63.7489 967.5220  1638.8867
1e-5  26.2807 602.7945  776.9045
1e-5  11.2863 460.2082  604.1532
1e-5  6.5180  369.1720  412.6382
1e-5  4.5638  283.2063  326.0634
1e-5  3.3182  230.0656  280.0607
1e-5  2.5292  220.4413  252.2637
1e-5  2.0001  178.1628  225.7939
1e-5  1.5950  198.4639  191.6835
1e-5  1.3101  145.7449  147.1729
1e-5  1.1309  127.5649  156.8723
1e-5  0.9378  114.0415  143.1672
1e-5  0.7756  120.6974  157.5181
1e-5  0.7106  113.2216  126.5450
1e-5  0.6116  89.1048   97.2816
1e-5  0.6657  86.5892   96.8970
1e-5  0.4837  89.0949   95.8440
1e-5  0.4411  78.3836   86.0526
1e-5  0.4143  67.6185   76.0770
1e-5  0.3526  76.1174   84.8245
1e-5  0.3244  62.2659   63.3064
1e-5  0.3419  70.2888   66.1879
1e-5  0.3071  66.2137   69.6693
1e-5  0.2644  63.4479   68.7119
1e-5  0.2714  71.9257   68.7995
1e-5  0.3286  55.6129   54.1850
1e-5  0.2188  54.5939   56.1864
1e-5  0.2173  47.1339   50.5022
1e-5  0.2000  56.6637   44.2348
1e-6    0.1571  43.8817 43.9760
1e-6    0.1446  40.5366 43.7807
1e-6    0.1296  43.4571 40.6205
1e-6    0.1323  41.1332 38.9967
1e-6    0.1317  44.0321 42.0699
1e-6    0.1283  36.7220 35.5728
1e-6    0.1254  39.0332 36.3760
1e-6    0.1144  37.3786 34.8523
1e-6    0.1059  38.8942 35.9901
1e-6    0.1285  39.3960 37.2465
1e-6    0.1100  40.5075 37.3104
1e-6    0.1420  40.7571 38.3765
1e-6    0.1002  40.5703 35.2276
1e-6    0.1000  41.8724 40.3997
1e-6    0.0974  39.9725 35.6758
1e-6    0.0935  87.6097 60.1861
1e-6    0.0973  36.8417 30.3892
1e-6    0.0852  32.0994 29.0284
1e-6    0.0884  34.8656 33.1309
1e-6    0.0772  35.1501 33.6866
1e-6    0.0841  32.5813 30.7765
1e-6    0.0712  31.8849 28.4869
1e-6    0.0921  32.9011 30.8148
1e-6    0.0859  34.5680 33.8713
1e-6    0.0889  30.2915 29.3818
1e-6    0.0819  31.5972 27.9922
1e-6    0.0866  32.4644 29.9916
1e-6    0.1143  30.9124 29.2555
1e-6    0.0780  30.3242 28.6322
1e-6    0.0889  30.6871 30.9793
1e-6    0.0678  26.8432 25.4091
1e-6    0.0620  26.3528 25.3281
1e-6    0.0601  27.7465 24.9368
1e-6    0.0589  26.3995 24.4904
1e-6    0.0543  26.9413 23.2838
